model_name,phase,epoch,metric_name,metric_value
finetune_cola_twotower_electrasmall,val,0,mcc,0.02564101107418537
finetune_cola_twotower_electrasmall,val,0,loss,0.6865330934524536
finetune_cola_twotower_electrasmall,train,0,mcc,-0.007586507126688957
finetune_cola_twotower_electrasmall,train,0,loss,0.6925167441368103
finetune_cola_twotower_electrasmall,val,1,mcc,0.02564101107418537
finetune_cola_twotower_electrasmall,val,1,loss,0.6655011177062988
finetune_cola_twotower_electrasmall,train,1,mcc,-0.0025800096336752176
finetune_cola_twotower_electrasmall,train,1,loss,0.6780822277069092
finetune_cola_twotower_electrasmall,val,2,mcc,0.02564101107418537
finetune_cola_twotower_electrasmall,val,2,loss,0.6394309997558594
finetune_cola_twotower_electrasmall,train,2,mcc,0.009685983881354332
finetune_cola_twotower_electrasmall,train,2,loss,0.65383380651474
finetune_cola_twotower_electrasmall,val,3,mcc,0.02564101107418537
finetune_cola_twotower_electrasmall,val,3,loss,0.6180883049964905
finetune_cola_twotower_electrasmall,train,3,mcc,0.009685983881354332
finetune_cola_twotower_electrasmall,train,3,loss,0.6302295327186584
finetune_cola_twotower_electrasmall,val,4,mcc,0.02564101107418537
finetune_cola_twotower_electrasmall,val,4,loss,0.6078321933746338
finetune_cola_twotower_electrasmall,train,4,mcc,0.009685983881354332
finetune_cola_twotower_electrasmall,train,4,loss,0.6134721040725708
finetune_cola_twotower_electrasmall,val,5,mcc,0.02564101107418537
finetune_cola_twotower_electrasmall,val,5,loss,0.6061064004898071
finetune_cola_twotower_electrasmall,train,5,mcc,0.009685983881354332
finetune_cola_twotower_electrasmall,train,5,loss,0.6079649329185486
finetune_cola_twotower_electrasmall,val,6,mcc,0.02564101107418537
finetune_cola_twotower_electrasmall,val,6,loss,0.6061851978302002
finetune_cola_twotower_electrasmall,train,6,mcc,0.009685983881354332
finetune_cola_twotower_electrasmall,train,6,loss,0.6070612668991089
finetune_cola_twotower_electrasmall,val,7,mcc,0.02564101107418537
finetune_cola_twotower_electrasmall,val,7,loss,0.6061719655990601
finetune_cola_twotower_electrasmall,train,7,mcc,0.009685983881354332
finetune_cola_twotower_electrasmall,train,7,loss,0.607318103313446
finetune_cola_twotower_electrasmall,val,8,mcc,0.02564101107418537
finetune_cola_twotower_electrasmall,val,8,loss,0.6061172485351562
finetune_cola_twotower_electrasmall,train,8,mcc,0.009685983881354332
finetune_cola_twotower_electrasmall,train,8,loss,0.6072332262992859
finetune_cola_twotower_electrasmall,val,9,mcc,0.02564101107418537
finetune_cola_twotower_electrasmall,val,9,loss,0.60623699426651
finetune_cola_twotower_electrasmall,train,9,mcc,0.009685983881354332
finetune_cola_twotower_electrasmall,train,9,loss,0.6068087816238403
finetune_mnli_twotower_electrasmall,val,0,accuracy,0.42876774072647095
finetune_mnli_twotower_electrasmall,val,0,loss,0.6174126267433167
finetune_mnli_twotower_electrasmall,train,0,accuracy,0.3743398189544678
finetune_mnli_twotower_electrasmall,train,0,loss,0.6337771415710449
finetune_mnli_twotower_electrasmall,val,1,accuracy,0.4899475872516632
finetune_mnli_twotower_electrasmall,val,1,loss,0.5830217003822327
finetune_mnli_twotower_electrasmall,train,1,accuracy,0.44457629323005676
finetune_mnli_twotower_electrasmall,train,1,loss,0.602415919303894
finetune_mnli_twotower_electrasmall,val,2,accuracy,0.5171781778335571
finetune_mnli_twotower_electrasmall,val,2,loss,0.5700990557670593
finetune_mnli_twotower_electrasmall,train,2,accuracy,0.48832449316978455
finetune_mnli_twotower_electrasmall,train,2,loss,0.5810996294021606
finetune_mnli_twotower_electrasmall,val,3,accuracy,0.5355525016784668
finetune_mnli_twotower_electrasmall,val,3,loss,0.5603269338607788
finetune_mnli_twotower_electrasmall,train,3,accuracy,0.5116093158721924
finetune_mnli_twotower_electrasmall,train,3,loss,0.569913923740387
finetune_mnli_twotower_electrasmall,val,4,accuracy,0.5440525412559509
finetune_mnli_twotower_electrasmall,val,4,loss,0.553148627281189
finetune_mnli_twotower_electrasmall,train,4,accuracy,0.5272623896598816
finetune_mnli_twotower_electrasmall,train,4,loss,0.5613102316856384
finetune_mnli_twotower_electrasmall,val,5,accuracy,0.5585076808929443
finetune_mnli_twotower_electrasmall,val,5,loss,0.5450714230537415
finetune_mnli_twotower_electrasmall,train,5,accuracy,0.5398724675178528
finetune_mnli_twotower_electrasmall,train,5,loss,0.5531973838806152
finetune_mnli_twotower_electrasmall,val,6,accuracy,0.563801109790802
finetune_mnli_twotower_electrasmall,val,6,loss,0.5412529110908508
finetune_mnli_twotower_electrasmall,train,6,accuracy,0.5516345500946045
finetune_mnli_twotower_electrasmall,train,6,loss,0.5459337830543518
finetune_mnli_twotower_electrasmall,val,7,accuracy,0.5748969316482544
finetune_mnli_twotower_electrasmall,val,7,loss,0.5334920287132263
finetune_mnli_twotower_electrasmall,train,7,accuracy,0.5636411309242249
finetune_mnli_twotower_electrasmall,train,7,loss,0.538275420665741
finetune_mnli_twotower_electrasmall,val,8,accuracy,0.585076630115509
finetune_mnli_twotower_electrasmall,val,8,loss,0.5262387990951538
finetune_mnli_twotower_electrasmall,train,8,accuracy,0.5754388570785522
finetune_mnli_twotower_electrasmall,train,8,loss,0.5305322408676147
finetune_mnli_twotower_electrasmall,val,9,accuracy,0.5980047583580017
finetune_mnli_twotower_electrasmall,val,9,loss,0.5163761973381042
finetune_mnli_twotower_electrasmall,train,9,accuracy,0.5873563289642334
finetune_mnli_twotower_electrasmall,train,9,loss,0.521970808506012
finetune_mrpc_twotower_electrasmall,val,0,accuracy,0.4534313678741455
finetune_mrpc_twotower_electrasmall,val,0,loss,0.6944681406021118
finetune_mrpc_twotower_electrasmall,val,0,f1,0.0
finetune_mrpc_twotower_electrasmall,train,0,accuracy,0.4550163447856903
finetune_mrpc_twotower_electrasmall,train,0,loss,0.6959489583969116
finetune_mrpc_twotower_electrasmall,train,0,f1,0.0
finetune_mrpc_twotower_electrasmall,val,1,accuracy,0.6838235259056091
finetune_mrpc_twotower_electrasmall,val,1,loss,0.689765214920044
finetune_mrpc_twotower_electrasmall,val,1,f1,0.0
finetune_mrpc_twotower_electrasmall,train,1,accuracy,0.5466194152832031
finetune_mrpc_twotower_electrasmall,train,1,loss,0.6929465532302856
finetune_mrpc_twotower_electrasmall,train,1,f1,0.0
finetune_mrpc_twotower_electrasmall,val,2,accuracy,0.6838235259056091
finetune_mrpc_twotower_electrasmall,val,2,loss,0.6824467778205872
finetune_mrpc_twotower_electrasmall,val,2,f1,0.0
finetune_mrpc_twotower_electrasmall,train,2,accuracy,0.6488549709320068
finetune_mrpc_twotower_electrasmall,train,2,loss,0.688327431678772
finetune_mrpc_twotower_electrasmall,train,2,f1,0.0
finetune_mrpc_twotower_electrasmall,val,3,accuracy,0.6838235259056091
finetune_mrpc_twotower_electrasmall,val,3,loss,0.6728793382644653
finetune_mrpc_twotower_electrasmall,val,3,f1,0.0
finetune_mrpc_twotower_electrasmall,train,3,accuracy,0.6736640930175781
finetune_mrpc_twotower_electrasmall,train,3,loss,0.680989682674408
finetune_mrpc_twotower_electrasmall,train,3,f1,0.0
finetune_mrpc_twotower_electrasmall,val,4,accuracy,0.6838235259056091
finetune_mrpc_twotower_electrasmall,val,4,loss,0.6619024276733398
finetune_mrpc_twotower_electrasmall,val,4,f1,0.0
finetune_mrpc_twotower_electrasmall,train,4,accuracy,0.674481987953186
finetune_mrpc_twotower_electrasmall,train,4,loss,0.6728053092956543
finetune_mrpc_twotower_electrasmall,train,4,f1,0.0
finetune_mrpc_twotower_electrasmall,val,5,accuracy,0.6838235259056091
finetune_mrpc_twotower_electrasmall,val,5,loss,0.6504116058349609
finetune_mrpc_twotower_electrasmall,val,5,f1,0.0
